order_id;product_name;fournisseur_EVOLLIS;order_date;quantity;unit_price_EVOLLIS;total_price_EVOLLIS;fournisseur_HYBRIS;unit_price_HYBRIS;total_price_HYBRIS;expected_price_evollis;expected_price_hybris;gap_evollis;gap_hybris;is_incoherent;p_origin_evollis;p_origin_hybris;predicted_origin
2490;Disque dur interne 6TB;MouseMaster;09/02/2025;15.0;226.67;3400.05;DisplayWorld;1054.45;15816.78;3400.0499999999997;15816.75;4.547473508864641e-13;0.030000000000654836;1;0.014222319;0.9857777;HYBRIS
2548;Camera de conference;DataStore;24/02/2025;24.0;769.74;18473.76;TechSolutions;1668.21;40036.92;18473.760000000002;40037.04;3.637978807091713e-12;0.12000000000261934;1;0.00072475604;0.99927527;HYBRIS
2618;Clavier retroeclaire;DisplayWorld;11/03/2025;21.0;1210.09;25411.85;DisplayWorld;597.84;12554.68;25411.89;12554.640000000001;0.040000000000873115;0.039999999999054126;1;0.98733574;0.012664186;EVOLLIS
2646;Microphone de studio;KeyboardPro;11/03/2025;34.0;328.28;11161.44;TechSolutions;1490.93;50691.79;11161.519999999999;50691.62;0.07999999999810825;0.16999999999825377;1;0.0032620758;0.9967379;HYBRIS
2668;Disque dur interne 6TB;KeyboardPro;11/03/2025;18.0;2155.4;38797.12;TechSolutions;699.32;12587.68;38797.200000000004;12587.76;0.08000000000174623;0.07999999999992724;1;0.9742897;0.025710346;EVOLLIS
2732;Cle de cryptage USB;KeyboardPro;26/03/2025;24.0;162.08;3889.84;DataStore;682.92;16390.17;3889.92;16390.079999999998;0.07999999999992724;0.09000000000014552;1;0.02200859;0.9779914;HYBRIS
2736;"Ecran 32"" 4K UHD";DataStore;26/03/2025;9.0;165.79;1492.14;DataStore;1970.75;17736.75;1492.11;17736.75;0.03000000000020009;0.0;1;0.8482233;0.15177669;EVOLLIS
2754;Cable HDMI 2.0;TechSolutions;26/03/2025;15.0;229.24;3438.58;MouseMaster;1455.9;21838.56;3438.6000000000004;21838.5;0.020000000000436557;0.06000000000130967;1;0.0006867196;0.99931324;HYBRIS
2841;Enceintes de gaming 5.1;TechSolutions;10/04/2025;36.0;549.27;19773.89;DataStore;2677.93;96405.59;19773.72;96405.48;0.16999999999825377;0.11000000000058208;1;0.9863602;0.01363978;EVOLLIS
2901;Clavier ergonomique;MouseMaster;25/04/2025;20.0;925.36;18507.17;DataStore;2041.2;40824.02;18507.2;40824.0;0.030000000002473826;0.01999999999679858;1;0.9598026;0.04019732;EVOLLIS
2942;Souris Gaming RGB;KeyboardPro;10/05/2025;40.0;1732.9;69315.85;MouseMaster;1165.91;46636.53;69316.0;46636.4;0.14999999999417923;0.12999999999738066;1;0.97196203;0.028037937;EVOLLIS
3021;Cable HDMI 2.0;MouseMaster;10/05/2025;15.0;;;DisplayWorld;147.26;2208.93;;2208.8999999999996;;0.03000000000020009;1;0.0062887305;0.99371123;HYBRIS
3033;RAM 16GB DDR4;MouseMaster;25/05/2025;14.0;;;DataStore;116.71;1633.97;;1633.9399999999998;;0.03000000000020009;1;0.007956799;0.9920432;HYBRIS
3058;Camera de securite IP;MouseMaster;25/05/2025;45.0;1351.59;60821.57;MouseMaster;711.14;32001.5;60821.549999999996;32001.3;0.020000000004074536;0.2000000000007276;1;0.0018225965;0.9981774;HYBRIS
3206;SSD 1TB NVMe;DataStore;24/06/2025;14.0;804.58;11264.08;DataStore;107.38;1503.38;11264.12;1503.32;0.040000000000873115;0.060000000000172804;1;0.015991481;0.98400855;HYBRIS
3291;Disque dur interne 6TB;KeyboardPro;24/06/2025;26.0;1869.26;48600.77;DisplayWorld;1440.09;37442.24;48600.76;37442.34;0.00999999999476131;0.09999999999854481;1;0.0060026683;0.99399734;HYBRIS
3340;Microphone USB professionnel;KeyboardPro;09/07/2025;35.0;493.03;17256.16;DisplayWorld;2462.37;86183.09;17256.05;86182.95;0.11000000000058208;0.13999999999941792;1;0.055276576;0.94472337;HYBRIS
3383;Laptop Gaming ROG;DataStore;24/07/2025;39.0;1092.05;42589.76;KeyboardPro;324.93;12672.3;42589.95;12672.27;0.18999999999505235;0.029999999998835847;1;0.9992354;0.00076466834;EVOLLIS
3464;Enceintes de gaming 5.1;TechSolutions;24/07/2025;40.0;867.8;34711.81;DisplayWorld;263.25;10529.96;34712.0;10530.0;0.1900000000023283;0.040000000000873115;1;0.99875176;0.0012482087;EVOLLIS
3492;Alimentation 750W;KeyboardPro;08/08/2025;24.0;1084.37;26024.99;MouseMaster;69.41;1665.76;26024.879999999997;1665.84;0.11000000000422006;0.07999999999992724;1;0.98947924;0.010520723;EVOLLIS
3525;Souris gamer sans fil;MouseMaster;08/08/2025;30.0;1214.67;36440.15;DataStore;269.89;8096.84;36440.100000000006;8096.7;0.049999999995634425;0.14000000000032742;1;0.0011776967;0.9988223;HYBRIS
3565;Souris Gaming RGB;DataStore;23/08/2025;48.0;305.37;14657.92;DataStore;1511.77;72564.76;14657.76;72564.95999999999;0.15999999999985448;0.19999999999708962;1;0.042099506;0.9579005;HYBRIS
3643;Disque dur interne 4TB;DisplayWorld;23/08/2025;18.0;174.97;3149.43;DataStore;1252.2;22539.64;3149.46;22539.600000000002;0.03000000000020009;0.039999999997235136;1;0.038506813;0.9614932;HYBRIS
3744;Carte graphique RTX 3080;TechSolutions;22/09/2025;32.0;1093.37;34987.76;KeyboardPro;1123.62;35955.96;34987.84;35955.84;0.07999999999447027;0.12000000000261934;1;0.046589833;0.95341015;HYBRIS
3810;Souris optique gaming;DisplayWorld;22/09/2025;28.0;189.21;5297.87;TechSolutions;1153.49;32297.71;5297.88;32297.72;0.010000000000218279;0.010000000002037268;1;0.014966848;0.9850331;HYBRIS
3816;Disque SSD SATA 1TB;DisplayWorld;22/09/2025;19.0;2050.53;38959.98;TechSolutions;1616.36;30710.79;38960.07000000001;30710.839999999997;0.0900000000037835;0.049999999995634425;1;0.9965366;0.0034634352;EVOLLIS
3842;Routeur Wi-Fi 6;DisplayWorld;07/10/2025;43.0;;;TechSolutions;289.38;12443.43;;12443.34;;0.09000000000014552;1;0.0004677911;0.9995322;HYBRIS
4110;Switch Ethernet 24 ports;TechSolutions;21/11/2025;45.0;;;MouseMaster;1779.51;80077.93;;80077.95;;0.020000000004074536;1;0.013524506;0.9864755;HYBRIS
4134;Enceintes de bureau;DisplayWorld;21/11/2025;43.0;2101.57;90367.67;KeyboardPro;594.78;25575.73;90367.51000000001;25575.539999999997;0.15999999998894054;0.1900000000023283;1;0.058857847;0.94114214;HYBRIS
4225;Cle de securite USB;KeyboardPro;06/12/2025;19.0;1387.42;26361.0;TechSolutions;1045.92;19872.48;26360.980000000003;19872.480000000003;0.01999999999679858;3.637978807091713e-12;1;0.98370934;0.016290613;EVOLLIS
4263;Microphone de streaming;DisplayWorld;06/12/2025;14.0;1556.7;21793.85;DataStore;1459.83;20437.67;21793.8;20437.62;0.049999999999272404;0.049999999999272404;1;0.9953685;0.0046316;EVOLLIS
4302;Carte mere Z490;TechSolutions;21/12/2025;33.0;668.57;22062.91;KeyboardPro;1731.52;57140.12;22062.81;57140.159999999996;0.09999999999854481;0.03999999999359716;1;0.9987062;0.001293829;EVOLLIS
4325;Clavier ergonomique;TechSolutions;21/12/2025;29.0;866.11;25117.21;DataStore;196.72;5704.78;25117.19;5704.88;0.020000000000436557;0.1000000000003638;1;0.002360459;0.99763954;HYBRIS
4351;Cle USB 64GB;MouseMaster;21/12/2025;38.0;959.3;36453.55;TechSolutions;721.65;27422.53;36453.4;27422.7;0.1500000000014552;0.17000000000189175;1;0.029053973;0.9709461;HYBRIS
4467;Microphone cardioide;MouseMaster;20/01/2026;22.0;;;TechSolutions;646.01;14212.16;;14212.22;;0.05999999999949068;1;0.0008482302;0.9991517;HYBRIS
4641;Station d'accueil USB-C;DataStore;19/02/2026;37.0;1444.96;53463.35;KeyboardPro;934.6;34580.09;53463.520000000004;34580.200000000004;0.17000000000552973;0.11000000000785803;1;0.99370676;0.006293259;EVOLLIS
4693;Microphone de studio;TechSolutions;19/02/2026;23.0;1626.22;37403.04;KeyboardPro;303.64;6983.62;37403.06;6983.719999999999;0.01999999999679858;0.0999999999994543;1;0.00391216;0.9960879;HYBRIS
4755;Souris sans fil;KeyboardPro;06/03/2026;26.0;2477.64;64418.65;DisplayWorld;1911.98;49711.6;64418.64;49711.48;0.010000000002037268;0.11999999999534339;1;0.010353529;0.9896465;HYBRIS
4757;Enceintes de bureau;DisplayWorld;06/03/2026;41.0;1751.99;71831.73;KeyboardPro;133.73;5483.08;71831.59;5482.929999999999;0.13999999999941792;0.1500000000005457;1;0.04562606;0.9543739;HYBRIS
4792;Disque dur externe 5TB;DataStore;06/03/2026;11.0;;;TechSolutions;1449.5;15944.49;;15944.5;;0.010000000000218279;1;0.04846472;0.9515352;HYBRIS
4878;Souris optique gaming;TechSolutions;21/03/2026;35.0;887.27;31054.44;DisplayWorld;538.1;18833.33;31054.45;18833.5;0.010000000002037268;0.16999999999825377;1;0.0004989067;0.9995011;HYBRIS
4879;"Ecran portable 13""";DisplayWorld;21/03/2026;17.0;1374.67;23369.31;KeyboardPro;2188.92;37211.57;23369.39;37211.64;0.07999999999810825;0.06999999999970896;1;0.9813399;0.0186601;EVOLLIS
4912;Microphone cardioide;TechSolutions;05/04/2026;18.0;355.18;6393.2;MouseMaster;1190.22;21423.9;6393.24;21423.96;0.03999999999996362;0.059999999997671694;1;0.001644293;0.9983557;HYBRIS
